Case Name,Filing Year,Description,Case Categories,Principal Laws
North Dakota v. EPA,2015,"Challenge to EPA's performance standards for greenhouse gas emissions from new, modified, and reconstructed power plants.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Clean Power Plan,Clean Air Act (CAA)
"WildEarth Guardians v. U.S. Office of Surface Mining, Reclamation and Enforcement",2013,"Challenge to agencies’ approval of mining plan amendment for expansion of surface coal mine in Montana.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Utility Air Regulatory Group v. EPA,2009,"Challenge to EPA endangerment finding and rules concerning regulation of greenhouse gas emissions from
stationary and mobile sources.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Endangerment Findings|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Tailoring Rule|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>PSD Program,Clean Air Act (CAA)
Center for Biological Diversity v. Bureau of Ocean Energy Management,2015,,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Juliana v. United States,2015,"Action by young plaintiffs asserting that the federal government violated their constitutional rights by causing dangerous carbon dioxide concentrations. [Due to a technical issue, some recent documents are currently not available.]",Constitutional Claims>Fifth Amendment|Public Trust Claims,Public Trust Doctrine|Ninth Amendment|Fifth Amendment—Due Process|Fifth Amendment—Equal Protection
Bitters v. Federal Highway Administration,2014,"Challenge to approval of reintroduction of vehicular traffic to area in downtown Fresno, California.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Department of Transportation Act (Section 4(f))
"Northwest Environmental Defense Center v. Cascade Kelly Holdings LLC, d/b/a Columbia Pacific Biorefinery",2014,Challenge to oil terminal operators’ failure to obtain PSD permit.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Energy &amp; Environment Legal Institute v. Epel,2011,"Challenge to Colorado Renewable Energy Standard.
",Constitutional Claims>Commerce Clause,Commerce Clause
White Earth Nation v. Kerry,2014,Challenge to approvals of cross-border pipelines.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Environmental Integrity Project v. EPA,2015,Action to require EPA respond to 2011 petition to identify ammonia as a criteria pollutant.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
California Building Industry Association v. Bay Area Air Quality Management District,2010,Challenge to greenhouse gas thresholds of significance for land use projects.,State Law Claims>Industry Lawsuits|State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Blosser/Romain v. Rosenblum,2015,Challenge to ballot titles for initiatives to weaken Oregon low carbon fuel standards.,State Law Claims,State Law—Miscellaneous Statutes>Oregon Clean Fuels Program|State Law—Miscellaneous Statutes>Oregon Elections Law
Maryland Office of People’s Counsel v. Maryland Public Service Commission,2013,Challenge to grid resiliency charge authorized by Maryland Public Service Commission.,State Law Claims>Utility Regulation,State Law—Utilities Laws
Energy &amp; Environment Legal Institute v. Arizona Board of Regents,2013,"Seeking disclosure of university records, including professors' emails, related to the climate change “hockey stick” and the Intergovernmental Panel on Climate Change.
",Climate Change Protesters and Scientists>Scientists,State Law—Freedom of Information Laws
Center for Biological Diversity v. U.S Fish &amp; Wildlife Service,2015,"Challenge to determination that listing of coastal marten as endangered or threatened was not warranted.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
St. Bernard Parish Government v. United States,2005,Action by property owners in St. Bernard Parish and Lower Ninth Ward in New Orleans seeking compensation for temporary taking of property caused by flooding during and after Hurricane Katrina.,Adaptation>Actions seeking money damages for losses|Constitutional Claims>Fifth Amendment,Fifth Amendment—Takings
"Judicial Watch, Inc. v. United States Department of Commerce",2015,Action to compel production of NOAA documents concerning climate data and related records in connection with congressional subpoena.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests|Climate Change Protesters and Scientists>Scientists,Freedom of Information Act (FOIA)
King &amp; Gardiner Farms LLC v. County of Kern,2015,"Challenge to county zoning ordinance amendments that would purportedly authorize development of thousands new oil and gas wells annually, as well as related construction and operational activities, without further site-specific assessment.",State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Center for Biological Diversity v. California Department of Fish and Wildlife,2011,"Challenge to 12,000-acre development in northwestern Los Angeles County.
",State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Owner-Operator Independent Drivers Association, Inc. v. EPA",2014,"Challenge to EPA waiver of Clean Air Act preemption of California’s greenhouse gas regulations for certain heavy-duty tractor-trailer trucks.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Clean Air Act (CAA)
Hickenlooper v. Coffman,2015,Petition by Colorado governor for declaration that attorney general did not have authority to sue the federal government on behalf of the State.,State Law Claims>Environmentalist Lawsuits|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Clean Power Plan,State Constitutions>Colorado Constitution
"Catskill Mountainkeeper, Inc. v. Federal Energy Regulatory Commission",2016,"Challenge to FERC orders authorizing the Constitution Pipeline Project, a natural gas transmission line that would travel through Pennsylvania and New York.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Clean Water Act (CWA)
DJL Farm LLC v. EPA,2015,Challenges to Safe Drinking Water Act permits for injection wells for carbon dioxide storage for FutureGen project.,Federal Statutory Claims>Other Statutes and Regulations,Safe Drinking Water Act (SDWA)
American Petroleum Institute v. EPA,2012,"Challenge to EPA rule that maintains existing greenhouse gas emissions permitting thresholds.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Tailoring Rule,Clean Air Act (CAA)
"Agriculture, Business &amp; Labor Educational Coalition of San Luis Obispo County v. County of San Luis Obispo",2009,Challenge to negative declaration in connection with smart growth amendments to land use regulations.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Center for Biological Diversity v. Kempthorne,2007,Challenge to DOI’s listing of polar bears as threatened.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Competitive Enterprise Institute v. Office of Science and Technology Policy,2014,Lawsuit seeking documents related to video that connected 2014 polar vortex to climate change,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests|Climate Change Protesters and Scientists>Scientists,Freedom of Information Act (FOIA)
"Accokeek, Mattawoman, Piscataway Creeks Communities Council, Inc. v. Maryland Public Service Commission",2014,Challenge to approval of power plant for Dominion Cove Point natural gas liquefaction facility.,State Law Claims>Environmentalist Lawsuits,State Law—Utilities Laws|Maryland Public Utility Article
State v. Brockway,2014,Prosecution of protesters who blocked a rail yard in Washington state to draw attention to climate change and the risks of coal and oil trains.,Climate Change Protesters and Scientists>Protesters,State Law—Criminal Law
"A Piece of Paradise, LLC v. Borough of Fenwick Zoning Board of Appeals",2013,Challenge to denial of approvals necessary for development of single-family home on Connecticut coast.,Adaptation>Challenges to adaptation measures,State Law—Land Use Laws>Connecticut Coastal Management Act|State Law—Land Use Laws>Connecticut Zoning Laws
NRDC v. Kempthorne,2005,Challenge to agency’s biological opinion “no jeopardy” finding concerning Delta smelt.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Western Watersheds Project v. Schneider,2016,Challenge to Forest Service and BLM approvals of revised land use plans for lands located in range of greater sage-grouse.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Federal Land Policy and Management Act (FLPMA)|National Forest Management Act (NFMA)
"Benton v. Global Companies, LLC",2016,Citizen suit challenging petroleum product transloading facility's compliance with the Clean Air Act.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
San Luis &amp; Delta-Mendota Water Authority v. Salazar,2009,Challenged biological opinion by Fish and Wildlife Service to protect delta smelt.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Civil Society Institute Inc. v. U.S. Department of Energy,2011,Challenge to Dept. of Energy’s refusal to release report concerning water resources.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
NRDC v. Wright-Patterson Air Force Base,2010,FOIA request concerning coal-to-liquid facility.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Competitive Enterprise Institute v. EPA,2012,"Action seeking nonpublic emails from EPA officials concerning its “campaign against coal-fired power.”
",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Competitive Enterprise Institute v. U.S. Treasury,2012,Sought emails from U.S. Treasury concerning the proposal of a carbon tax.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Competitive Enterprise Institute v. EPA,2013,Action seeking production of instant message communications to and from EPA officials.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Mississippi Power Co. v. Mississippi Public Service Commission,2013,Action seeking disclosure of documents concerning economic impact of GHG emissions regulation.,State Law Claims>Industry Lawsuits,State Law—Freedom of Information Laws
Landmark Legal Foundation v. EPA,2012,"Action to compel EPA to respond to request for documents relating to environmental regulations that plaintiff believed were improperly delayed for political reasons.
",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Citizens for Responsibility and Ethics in Washington v. EPA,2014,Challenge to EPA’s failures to disclose records relating to the 2014 proposed Renewable Fuel Standards.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Competitive Enterprise Institute v. U.S. National Security Agency,2014,"Action seeking production of metadata for personal e-mail, text messaging, and phone accounts of EPA administrators.",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Energy &amp; Environment Legal Institute v. United States Securities &amp; Exchange Commission,2015,Action to compel the SEC to disclose records of communications with investor-activist group Ceres and the New York Attorney General.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Competitive Enterprise Institute v. EPA,2015,Action seeking production of correspondence between EPA and members of Congress regarding legislators’ inquiries into funding for climate research.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Sierra Club v. U.S. Defense Energy Support Center,2010,Challenge to U.S. military purchasing fuels derived from Canadian oil sands.,Federal Statutory Claims>Other Statutes and Regulations,Energy Independence and Security Act (EISA)
National Wildlife Federation v. EPA,2011,Challenge to denial of petition to set criteria for renewable fuels.,Federal Statutory Claims>Other Statutes and Regulations,Energy Independence and Security Act (EISA)
Californians for Renewable Energy v. Department of Energy,2011,Challenge to DOE’s failure to promulgate regulations for loan guarantees for renewable energy.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy Act of 1992
Animal Welfare Institute v. Beech Ridge Energy LLC,2009,Challenge to wind energy project on grounds that it will threatened endangered Indiana bats.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
South Yuba River Citizens League v. National Marine Fisheries Service,2006,Challenge to biological opinion concerning water diversions on Yuba River.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Pacific Coast Federation of Fishermen’s Associations v. Gutierrez,2006,Challenge to federal agency’s 2004 biological opinion on the effects of two California water projects on endangered salmon and steelhead.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Brennan,2006,Action to enforce provisions of Global Change Research Act requiring preparation of scientific assessment of global climate change research and development of National Global Change Research Plan. ,Federal Statutory Claims>Other Statutes and Regulations,Global Climate Change Research Act
Citizens for Responsibility and Ethics in Washington v. CEQ,2007,Challenge to CEQ’s failure to disclose documents related to climate change.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Center for Biological Diversity v. Office of Management and Budget,2007,"Sought documents and fee waiver concerning rulemaking for fuel economy standards for light trucks, which complaint alleged made up eight percent of annual U.S. greenhouse gas emissions.",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
United States v. Sholtz,2005,Proceedings seeking access to judicial records concerning alleged fraudulent pollution credit trading scheme in California.,Constitutional Claims>First Amendment,First Amendment
Judicial Watch v. U.S. Department of Energy,2010,Request for documents related to White House “climate czar” Carol Browner’s role in U.S. climate policy.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Center for Biological Diversity v. Abraham,2002,Sought to enforce Energy Policy Act of 1992 provisions on alternative fuel vehicles.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy Act of 1992
New York v. U.S. Department of Energy,2008,Sought review of federal program concerning energy conservation standards for furnaces and boilers.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)
California v. Department of Energy,2007,Sought to force government to adopt stronger energy efficiency standards for energy transformers.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Energy Policy and Conservation Act (EPCA)
Center for Biological Diversity v. National Highway Traffic Safety Administration,2009,Challege to NHTSA's proposed CAFE standards.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)
Friends of the Earth v. EPA,2010,Challenge to renewable fuels standard.,Federal Statutory Claims>Other Statutes and Regulations,Energy Independence and Security Act (EISA)
Alaska Oil &amp; Gas Association v. Jewell,2011,Challenge to designation of polar bear critical habitat.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
"Shell Offshore Inc. v. Greenpeace, Inc.",2015,"Oil company filed suit seeking to bar environmental activists from interfering with its Arctic drilling operations.
",Climate Change Protesters and Scientists>Protesters,Federal Common Law—Nuisance|State Law—Nuisance|Maritime Law—Trespass|State Law—Trespass|Maritime Law—Nuisance|Maritime Law—Tortious Interference|Conspiracy
Alaska Oil &amp; Gas Association v. Ross,2014,"Challenge to designation of Arctic subspecies of ringed seal as threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Food Safety v. Jewell,2016,Action to compel response to petition to list monarch butterfly as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
"Zero Zone, Inc. v. United States Department of Energy",2014,Challenge to energy efficiency standards for commercial refrigeration equipment and related test procedure.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)
Massachusetts v. EPA,2003,Challenge to decision by EPA not to regulate GHGs from mobile sources under the Clean Air Act.,Federal Statutory Claims>Clean Air Act,Clean Air Act (CAA)
Pacific Merchant Shipping Association v. Goldstene,2007,Challenge to California Air Resources Board’s marine vessel rules.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Clean Air Act (CAA)
New York v. EPA,2008,Challenge to EPA’s decision not to add greenhouse gas emissions to new source performance standards for petroleum refineries.,Federal Statutory Claims>Clean Air Act,Clean Air Act (CAA)
California v. EPA,2008,Challenge to NHTSA’s regulations regarding CAFE standards on preemption grounds.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Clean Air Act (CAA)
Sierra Club v. EPA,2009,Lawsuit seeking to force EPA to reconsider performance standards for coal preparation and processing facilities.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Center for Biological Diversity v. EPA,2010,Challenge to schedule by which EPA plants to regulate greenhouse gas emissions from stationary sources.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Center for Biological Diversity v. EPA,2010,"Lawsuit seeking to force EPA to regulate greenhouse gas emissions from aircraft, ships, and non-road engines.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Pacific Merchant Shipping Association v. Goldstene,2009,Challenge to CARB’s rules requiring vessels traveling within 24 miles of coastline to switch to low-sulfur fuels.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits,Clean Air Act (CAA)
Washington Environmental Council v. Bellon,2011,Lawsuit alleging that Washington State failed to implement provisions of the state’s state implementation plan relating to greenhouse gas emissions from oil refineries.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Communities for a Better Environment v. EPA,2011,Challenge to EPA decision not to set secondary NAAQS for carbon monoxide.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
WildEarth Guardians v. EPA,2011,Action to compel EPA to respond to petition requesting that EPA list coal mines as a new stationary source category.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
WildEarth Guardians v. EPA,2013,Petition for review of EPA denial of rulemaking petition asking that EPA list coal mines as new stationary source category.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Resisting Environmental Destruction on Indigenous Lands v. EPA,2012,Challenge to two permits issued by EPA to Shell for offshore Arctic drilling operations.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Center for Biological Diversity v. EPA,2011,Challenge to EPA rule deferring regulation of biogenic carbon dioxide.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Humane Society of the United States v. McCarthy,2015,Action to compel EPA to respond to a 2009 petition to regulate concentrated animal feeding operations as sources of air pollution.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Center for Biological Diversity v. EPA,2013,"Rulemaking petition and subsequent litigation requesting that EPA amend water quality criteria and publish guidance to address ocean acidification.
",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)
Natural Resources Defense Council  v. Mineta,2004,Challenge to decision by federal officials to extend special treatment of dual-fueled motor vehicles to not comply with CAFE standards.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Alternative Motor Fuels Act|Energy Policy Act of 2005|Administrative Procedure Act (APA)
International Center for Technology Assessment v. Council on Environmental Quality,2014,Rulemaking petition and subsequent litigation requesting that CEQ amend regulations to explicitly require consideration of climate change in NEPA reviews.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Northwest Environmental Defense Center v. Owens Corning Corp.,2004,Challenge to construction of polystyrene foam insulation manufacturing facility on grounds that it did not get required preconstruction permit.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
"Savoy Energy, LLC v. New Mexico Institute of Mining &amp; Technology",2010,Action alleging that university fraudulently backed out of carbon sequestration project.,Common Law Claims,Contract Law|State Law—Fraud
In re Pio Pico Energy Center LLC,2012,"Challenge to EPA permit for natural gas power plant for failing to consider cleaner generation technologies.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
"In re La Paloma Energy Center, LLC",2013,Challenge to gas-fired power plant in Texas.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
In re ExxonMobil Chemical Company Baytown Olefins Plant,2013,Challenge to EPA’s failure to adequately consider carbon capture and sequestration in PSD permitting decision.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
Utility Reform Network v. Public Utilities Commission,2013,Challenge to approval by California PSC of utility’s application to purchase natural gas-fired plant.,State Law Claims>Utility Regulation,State Law—Utilities Laws|California Public Utilities Code
Massachusetts v. Whitman,2003,Challenge to EPA’s failure to list carbon dioxide as a pollutant under the Clean Air Act.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
New York v. EPA,2006,Challenge to EPA’s decision declining to regulate GHG emissions from power plants and steam generating units.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
California v. EPA,2008,Challenge to EPA's denial of California's request for a waiver of preemption for greenhouse gas emission standards for passenger vehicles.,Federal Statutory Claims>Clean Air Act,Clean Air Act (CAA)
"South Dearborn Environmental Improvement Association, Inc. v. Michigan Department of Environmental Quality",2014,Challenge to air permits for Michigan steel plant.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|State Law Claims>Environmentalist Lawsuits,Clean Air Act (CAA)|State Law—Air Statutes
In re Archer Daniels Midland Co.,2014,Challenge to underground injection control permit for carbon sequestration.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|Clean Air Act (CAA)|Safe Drinking Water Act (SDWA)
"In re Footprint Power Salem Harbor Development, LP",2014,Challenge to Clean Air Act permit for natural gas-fired power plant in Massachusetts.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
City of Los Angeles v. National Highway Traffic Safety Administration,1986,Challenge to decision not to prepare environmental impact statement for CAFE standards for model years 1987-1989.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Foundation on Economic Trends v. Watkins,1989,Challenged actions approved by agencies that did not take into account effects on climate change.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Seattle Audubon Society V. Lyons,1992,Challenge to supplemental environmental impact statement prepared in connection with forest management plan.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Association of Public Agency Customers, Inc. v. Bonneville Power Administration",1995,Challenge to environmental impact statement prepared by power company when it decided to become market competitor in energy market.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Border Power Plant Working Group v. Dept. of Energy,2002,Challenge to U.S. Department of Energy's FONSI regarding U.S.-Mexico power line.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Mid States Coalition for Progress v. Surface Transportation Board,2002,Challenge to STB’s approval of 280 miles of rail lines to reach coal mines and upgrade of 600 miles of existing line.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Friends of the Earth, Inc. v. Spinelli",2002,Challenge to government agencies' financial support for international fossil fuel projects; sought preparation of environmental assessment or environmental impact statement.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
National Audubon Society v. Kempthorne,2005,Challenge to U.S. Bureau of Land Management's environmental impact statement that served as basis for opening land to oil and gas development.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Northwest Environmental Advocates v. National Marine Fisheries Service,2004,Challenge to adequacy of environmental impact statement prepared in connection with project to dredge and deepen Columbia River navigation channel.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Mayo Found. v. Surface Transportation Board,2006,Challenge to STB’s approval of 280 new miles of rail lines to reach coal mines and upgrade of 600 miles of existing lines.  ,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Izaak Walton League of America v. Kimbell,2006,Challenge to decision by Forest Service to build snowmobile trail along a road adjacent to Boundary Waters wilderness area.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Audubon Naturalist Society of the Central Atlantic States, Inc. v. Department of Transportation",2006,Challenge to final EIS for transportation project.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Center for Biological Diversity v. National Highway Traffic Safety Administration,2006,"Challenge to rule setting CAFE standards for cars and light trucks.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Center for Biological Diversity v. United States Department of the Interior,2007,"Challenge to leasing plan for oil and gas development, including on grounds that climate change impacts were not considered.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
WildEarth Guardians v. United States Forest Service,2008,Challenge to Forest Service’s EIS for failure to mitigate climate impacts of methane venting.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Sierra Club v. Two Elk Generation Partners, L.P.",2009,Challenge to air emissions permit for proposed coal-fired power plant.,Federal Statutory Claims>NEPA,Clean Air Act (CAA)
Western Watersheds Project v. Salazar,2008,"Challenge to environmental impact statements for resource management plans in six states, including for failure to take into account climate change.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
North Slope Borough v. Minerals Management Service,2007,Challenge to federal government’s decision not to supplement EIS in connection with its plan to sell oil and gas leases in the Beaufort Sea.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
